Mes,Anio,NO REVOLVENTE MN,MICROEMPRESA MN,PEQUENIA EMPRESA MN,HIPOTECARIO MN,JUDICIAL MN,REFINANCIADO MN,CASTIGADO MN,NO REVOLVENTE ME,MICROEMPRESA ME,HIPOTECARIO ME,JUDICIAL ME,REFINANCIADO ME,CASTIGADO ME
Enero2016,other,293526.7,7194.03,0,0,0,0,0,0,0,5940.89,0,0,0
Febrero2016,other,471927.15,0,0,0,0,0,0,10589.51,0,0,0,0,0
Marzo2016,other,317224.82,26489.64,34169.63,0,0,0,0,14098.21,14621.65,0,0,0,0
Abril2016,other,221680.03,27205.02,0,0,2955.78,0,0,14715.11,5720.15,0,76178.66,0,0
Mayo2016,other,397165.41,0,0,0,0,4558.9,0,0,14307.06,0,0,0,0
Junio2016,other,230032.25,11656.2,0,0,2331.16,0,0,0,8580.86,0,0,0,0
Julio2016,other,251894,0,0,0,23243.64,0,0,6594.03,10889.67,0,0,0,0
Agosto2016,other,194942.11,16323.45,0,0,7464.46,0,0,0,2624.86,0,0,0,0
Setiembre2016,other,218975.25,553.09,0,380,41672.86,0,0,1584.74,0,0,0,0,0
Octubre2016,other,217335.98,6457.32,0,166.81,6281.8,0,0,2048.5,1237.27,0,0,0,0
Noviembre2016,other,283946.42,37670.92,0,0,62434.42,0,0,36702.43,0,76366.31,0,0,0
Enero2017,other,84147.99,0,0,0,0,0,0,0,0,0,0,0,0
